Unit_Cell_Volume_Å3,Test_Temperature_K,Initial_Hydrogen_Pressure_MPa,Hydrogen_Absorption_Cycles,Element_at_pct_Ti,Element_at_pct_V,Element_at_pct_Mn,Element_at_pct_Ce,Element_at_pct_Zr,Element_at_pct_Cr,Element_at_pct_Fe,Element_at_pct_Nb,Element_at_pct_Cu,Element_at_pct_Al,Element_at_pct_Y,Element_at_pct_A,Element_at_pct_B,Element_at_pct_Ni,Element_at_pct_Mo,Additive_Cu,Additive_Fe,Additive_Mo,Additive_Ni,Additive_V,Additive_Zr,Second_Phase_Ti4Mn2O,Second_Phase_CeO2,Second_Phase_TiCu,Second_Phase_Y2O3,Second_Phase_BCC,Lattice_Parameter_a_Å,Lattice_Parameter_c_Å,Max_H2_Uptake_wt_pct
172.92,298,5.0,2,33.89830508474576,15.25423728813559,50.84745762711864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,4.9828,8.0438,2.01
173.53,298,5.0,2,33.89830508474576,15.25423728813559,50.84745762711864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,4.9901,8.0482,2.06
173.68,298,5.0,2,33.89830508474576,15.25423728813559,50.84745762711864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,4.9918,8.0495,2.09
173.73,298,5.0,2,33.89830508474576,15.25423728813559,50.84745762711864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,4.9925,8.0499,2.06
174.25,298,5.0,2,33.89830508474576,15.25423728813559,50.84745762711864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4.9997,8.0505,1.79
156.59,298,8.0,2,33.89830508474576,15.25423728813559,50.84745762711864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,4.7412,8.0438,2.16
156.19,298,8.0,2,32.20338983050847,15.25423728813559,50.84745762711864,1.694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,4.7363,8.0398,2.01
155.86,298,8.0,2,30.50847457627118,15.25423728813559,50.84745762711864,3.389830508474576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,4.7339,8.0308,1.85
155.81,298,8.0,2,28.81355932203389,15.25423728813559,50.84745762711864,5.084745762711864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,4.7337,8.0292,1.66
156.43,298,8.0,2,27.11864406779661,15.25423728813559,50.84745762711864,6.779661016949152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4.7484,8.011,1.44
173.2,313,5.0,2,33.89830508474576,15.25423728813559,50.84745762711864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4.99,8.041,2.03
