SMOTER_Config,Extreme_Percentile,Aug_Multiplier,Features,Model,Train_R2,Test_R2,Train_MAE,Test_MAE,Train_RMSE,Test_RMSE,Overfit,CV_R2_mean,CV_R2_std,Combined_Score
Original (No Aug),-,0,15,RF,0.9586973220125654,0.7885714094074341,0.04083126911315001,0.097645238095238,0.06381141645429264,0.17125342167882765,0.17012591260513132,0.63131821494569,0.07807869171447432,0.7375336356258947
Original (No Aug),-,0,15,XGB,0.9992516516446541,0.5932346904231129,0.0025163670854830996,0.12267864201750076,0.008589367478798285,0.2375359535691878,0.4060169612215412,0.5031190072698222,0.2721745388502588,0.4714296020566506
Original (No Aug),-,0,15,GBDT,0.9742687441252973,0.6539709786183832,0.03485014998133032,0.12094983757150637,0.050366267882969044,0.21908551379698293,0.32029776550691413,0.6244141603410348,0.14006712384806136,0.5578816489663089
Original (No Aug),-,0,15,LGBM,0.7736625001978515,0.7717119967972446,0.09839060715461054,0.11511580379778093,0.14937830816936126,0.17795039029888834,0.0019505034006069843,0.5107741011485503,0.0314903879322005,0.7711268457770625
Original (No Aug),-,0,15,MLP,-1.4377570722208506,-0.27549101708699264,0.39911971120234746,0.3221643798786772,0.49023520050097413,0.420625988649439,-1.162266055133858,-1.3088281081074304,1.7225953333946733,-0.6241708336271501
Original (No Aug),-,0,15,SVR,0.8980629573639918,0.6272266660636973,0.07764119572669721,0.1360371432155713,0.10024790240985937,0.22739442822637748,0.2708362913002945,0.6363813115506675,0.14270367272534704,0.5459757786736089
Original (No Aug),-,0,18,RF,0.9591881221130569,0.7839113991037172,0.04035842507645276,0.09772238095238084,0.06343114757069739,0.17313039862249074,0.17527672300933972,0.6292043694519609,0.06737047143821881,0.7313283822009153
Original (No Aug),-,0,18,XGB,0.9992405560648729,0.5996204634974658,0.0027030719967063486,0.12102201879024507,0.008652809419925463,0.23566404969674715,0.39962009256740716,0.5160956837423957,0.26831113298435977,0.4797344357272436
Original (No Aug),-,0,18,GBDT,0.9769271459751403,0.6527497102116278,0.03410231826580927,0.1196849364293837,0.047693581713756296,0.21947179144029416,0.32417743576351254,0.6227896462026392,0.15966626503921116,0.555496479482574
Original (No Aug),-,0,18,LGBM,0.7736625001978515,0.7717119967972446,0.09839060715461054,0.11511580379778093,0.14937830816936126,0.17795039029888834,0.0019505034006069843,0.5107741011485503,0.0314903879322005,0.7711268457770625
Original (No Aug),-,0,18,MLP,0.11921400904309554,0.5127934609190932,0.22633845155658283,0.1963905219484798,0.2946758049409316,0.2599644451937185,-0.39357945187599763,-0.693177175982942,1.4493829158688856,0.3947196253562939
Original (No Aug),-,0,18,SVR,0.8948331834743591,0.6444149313341138,0.07829829951411281,0.12690683543677608,0.10182364585355798,0.2220900788572962,0.2504182521402454,0.6308237189128358,0.17589409336266812,0.5692894556920401
Original (No Aug),-,0,20,RF,0.9611564699077487,0.8105238428336812,0.04036469418960261,0.09356017857142862,0.06188261037105162,0.16211928668476994,0.15063262707406755,0.6446966374036458,0.08360040243209871,0.7653340547114609
Original (No Aug),-,0,20,XGB,0.9992451879852147,0.6056847090847572,0.002595478963414469,0.1150647693020957,0.008626381911076005,0.23387252767361363,0.3935604789004574,0.501370580973787,0.3127775503958271,0.48761656541462
Original (No Aug),-,0,20,GBDT,0.9792111191102855,0.7081913527545951,0.03223916874719109,0.1105194331144138,0.0452714948255075,0.20119004085701353,0.27101976635569036,0.6337450150229473,0.137088862809966,0.626885422847888
Original (No Aug),-,0,20,LGBM,0.7736625001978515,0.7717119967972446,0.09839060715461054,0.11511580379778093,0.14937830816936126,0.17795039029888834,0.0019505034006069843,0.5107741011485503,0.0314903879322005,0.7711268457770625
Original (No Aug),-,0,20,MLP,-2.3873714323658217,-1.1665357984628084,0.49367285821680096,0.49046432860897465,0.5778840257253687,0.5482016456164361,-1.2208356339030133,-1.1411968765413605,1.593424410326478,-1.5327864886337124
Original (No Aug),-,0,20,SVR,0.8885269352848352,0.6196969362179106,0.07925960411119165,0.13324926540778956,0.10483209136972363,0.22967954135879276,0.2688299990669246,0.5690614280519202,0.18022618114028194,0.5390479364978331
5% both tails,5,5,15,RF,0.9705426839997382,0.9167416002174071,0.04392499194851826,0.07971161438079748,0.090563777755136,0.1074660855361133,0.05380108378233106,0.584799079609246,0.2603601748911411,0.9006012750827078
5% both tails,5,5,15,XGB,0.9778010876133725,0.8722395900773361,0.01625953014223169,0.07958631958280293,0.07861832596008729,0.1331237517104149,0.10556149753603639,0.5534556671018838,0.3017768329674827,0.8405711408165252
5% both tails,5,5,15,GBDT,0.9722767946014088,0.8903879558724892,0.042162928122647124,0.08695791163627976,0.08785766661263841,0.12330666125064449,0.08188883872891961,0.5304025684265654,0.3129909697052559,0.8658213042538133
5% both tails,5,5,15,LGBM,0.9584641626082112,0.8264115292806189,0.06587356723177043,0.10509948615179186,0.10753985058868776,0.15517360104698547,0.13205263332759232,0.5217257104106453,0.2818098161520097,0.7867957392823413
5% both tails,5,5,15,MLP,0.41211526052424763,-0.18393627931904044,0.31249625781366974,0.3174049940120283,0.4045796523212901,0.4052486386411204,0.5960515398432881,-0.5004251389459243,1.4806492590489893,-0.36275174127202686
5% both tails,5,5,15,SVR,0.9150340563071706,0.8105148189446355,0.10337469331297379,0.11411130824672944,0.1538085174855284,0.162123147141566,0.1045192373625351,0.383889505092523,0.5943207873299021,0.779159047735875
5% both tails,5,5,18,RF,0.9922095993279886,0.7391019907777223,0.029704380476752692,0.10890317767172618,0.0465733889423133,0.19023603378074985,0.25310760855026626,0.7517266891529998,0.17768596158187924,0.6631697082126424
5% both tails,5,5,18,XGB,0.9998238718426475,0.8099133910243302,0.0019461230407148147,0.08050832118306843,0.007002809935379946,0.16238023357556705,0.1899104808183173,0.7097216547566173,0.1346119505235144,0.7529402467788351
5% both tails,5,5,18,GBDT,0.9930225890872791,0.7741381205727068,0.03036472998205473,0.1023916819204163,0.04407629626118272,0.17700228340965551,0.21888446851457233,0.7753885097759016,0.12008859877251109,0.7084727800183351
5% both tails,5,5,18,LGBM,0.9731754360482533,0.7238306562341095,0.05982875900950824,0.12318990775637569,0.08642199329740363,0.1957244738037706,0.24934477981414382,0.5606664101626555,0.27013239787978954,0.6490272222898663
5% both tails,5,5,18,MLP,0.6326317107030607,0.16247781953834062,0.2460592863751106,0.2457759208331142,0.3198223252165714,0.34084392587175505,0.47015389116472006,-0.8949726919616925,1.220327640650897,0.021431652188924594
5% both tails,5,5,18,SVR,0.965251834941648,0.6166517969604159,0.07312916513409949,0.12576227885861957,0.09836121424666115,0.23059724590987501,0.34860003798123207,0.831622757790466,0.14053973009057963,0.5120717855660464
5% both tails,5,5,20,RF,0.991986842452751,0.7295880989782035,0.030519993197731785,0.1121177711515267,0.04723455021787378,0.19367354449655258,0.2623987434745475,0.753945791689653,0.18317818834888375,0.6508684759358393
5% both tails,5,5,20,XGB,0.9998273774926083,0.8170082254359323,0.001756042918153839,0.08232113821165903,0.006932767786978665,0.1593210590212201,0.18281915205667598,0.7095968944495167,0.1398437274649844,0.7621624798189295
5% both tails,5,5,20,GBDT,0.9927932722967735,0.7794563600404296,0.03073323470960602,0.1024415928937116,0.044794737921253165,0.17490598445095942,0.21333691225634388,0.7563825447374224,0.09756136798869672,0.7154552863635264
5% both tails,5,5,20,LGBM,0.9736937998279176,0.7268146143235018,0.059951081582247996,0.12113059624062995,0.08558290100834354,0.19466421890142485,0.2468791855044158,0.5535349978459074,0.270493688618642,0.6527508586721771
5% both tails,5,5,20,MLP,0.9695224574381904,0.5435886270393766,0.05483964162292698,0.14354649852653859,0.09211872464890418,0.25161447919451646,0.42593383039881383,-1.1334936541759457,1.4206529586240504,0.41580847791973247
5% both tails,5,5,20,SVR,0.9640303269251099,0.6171082172734268,0.07467473901533445,0.1259796950138956,0.10007513594856522,0.23045992869690946,0.34692210965168313,0.8020477610435044,0.1759922851496079,0.5130315843779218
10% both tails,10,5,15,RF,0.9683331376792546,0.939884635019724,0.0402548032534525,0.07320507495320061,0.08266020718744004,0.09131668647774208,0.028448502659530583,0.5718824219404042,0.1894237648977999,0.9313500842218648
10% both tails,10,5,15,XGB,0.9778922686212026,0.9257563299634478,0.012729810855223062,0.06798947266169958,0.06906627954068897,0.10148155566522175,0.05213593865775479,0.5348544139511293,0.20927253617158836,0.9101155483661214
10% both tails,10,5,15,GBDT,0.969291996668516,0.9135552496222095,0.04138624124812214,0.08139561840795437,0.08139912980361282,0.10950317522586747,0.05573674704630649,0.623511536044876,0.2009293677589556,0.8968342255083175
10% both tails,10,5,15,LGBM,0.959667685986943,0.8984263331940373,0.052570918590846796,0.08986724297966567,0.09328687446239473,0.1186992474498992,0.06124135279290566,0.5771187813294593,0.1625798604998752,0.8800539273561656
10% both tails,10,5,15,MLP,0.207338168274544,0.17342418486429145,0.3315470941976301,0.2711978979840807,0.41355944691327623,0.3386091949369282,0.033913983410252535,-0.6983838311671117,1.3975247686678987,0.1632499898412157
10% both tails,10,5,15,SVR,0.9126963257203285,0.8693282957315116,0.08798043335002467,0.10866311367117502,0.13724933014276164,0.13463196293497418,0.04336802998881695,0.5198403873847808,0.4249422988883505,0.8563178867348665
10% both tails,10,5,18,RF,0.9894026547175354,0.8957792790747663,0.029326087356153305,0.08227795861513623,0.047818121914555256,0.12023597699699902,0.09362337564276912,0.6601217833827011,0.1735878590207468,0.8676922663819355
10% both tails,10,5,18,XGB,0.9998249074666978,0.8035587104258035,0.0015995771303463197,0.08286189641271322,0.006146498581307692,0.16507214261493927,0.19626619704089432,0.6748213644683771,0.1504192424647508,0.7446788513135352
10% both tails,10,5,18,GBDT,0.9903171326863099,0.6958638395147854,0.03183855391359311,0.11673881735810868,0.045708394065250894,0.2053957389420484,0.2944532931715246,0.7542777153130531,0.10587415072426078,0.607527851563328
10% both tails,10,5,18,LGBM,0.97379506990432,0.8551612592820044,0.04961700192149419,0.09857153925986088,0.07519439602077087,0.1417423961741392,0.1186338106223156,0.6302837599215984,0.10255858773497582,0.8195711160953096
10% both tails,10,5,18,MLP,0.6710094665270129,-0.0675886737817708,0.2027396764757385,0.2530859066269752,0.2664315634874091,0.38482154509318267,0.7385981403087837,0.2987547619419909,0.37933539422361806,-0.28916811587440594
10% both tails,10,5,18,SVR,0.9600698417523185,0.605378736173078,0.07008548659603758,0.12224690810169112,0.09282062497169691,0.23396324794698453,0.35469110557924044,0.8436311706681285,0.10649542886936196,0.4989714044993059
10% both tails,10,5,20,RF,0.989505063571799,0.8826541590622368,0.029182315338050005,0.08682577764799349,0.04758651262188959,0.12758254201071545,0.10685090450956225,0.6473250289742647,0.18526379340849955,0.8505988877093681
10% both tails,10,5,20,XGB,0.9998233947576117,0.7907474862008321,0.0016512796795257008,0.0880633055312293,0.006172992767478529,0.17036985044198333,0.2090759085567796,0.6826019341352159,0.15477760950734262,0.7280247136337983
10% both tails,10,5,20,GBDT,0.9906210909396412,0.7134274364535271,0.03127136976029063,0.11346741692390978,0.04498524965285746,0.1993768382127029,0.2771936544861141,0.7479157376720147,0.11107966960419736,0.6302693401076929
10% both tails,10,5,20,LGBM,0.9730697878836312,0.8673257279633999,0.04957914149053208,0.09818694475926229,0.07622788316330421,0.1356596701838808,0.10574405992023128,0.6300295411602544,0.10030649169060034,0.8356025099873305
10% both tails,10,5,20,MLP,0.7293810441471156,0.35016965323024296,0.1820589547185666,0.2281652328845909,0.2416423661065668,0.30023228707661054,0.3792113909168726,-0.7557739645979373,2.826225690556755,0.23640623595518118
10% both tails,10,5,20,SVR,0.9595907739955991,0.5987062005718949,0.0704179897195595,0.12881939121718816,0.09337577913061777,0.235932964594403,0.36088457342370417,0.8439110541689635,0.10490252421402049,0.4904408285447837
20% both tails,20,5,15,RF,0.9633792626221344,0.914979309652768,0.037664877227307374,0.081347484765489,0.07366354930363679,0.10859747152138856,0.04839995296936639,0.6567993489276349,0.2161147775833232,0.900459323761958
20% both tails,20,5,15,XGB,0.9785661357353385,0.9021584094105746,0.008788202702218386,0.07755656242370604,0.05635589303130362,0.11649818314053756,0.07640772632476389,0.5994119496517735,0.27698860230566374,0.8792360915131454
20% both tails,20,5,15,GBDT,0.9630610978130187,0.9072884630489592,0.04159392244751816,0.08817002957189503,0.07398285558499591,0.11340293390569299,0.05577263476405958,0.6865426853040806,0.22930613350851972,0.8905566726197413
20% both tails,20,5,15,LGBM,0.9589762833377996,0.844826965184837,0.041438449735466634,0.11062705261092717,0.07796624172753,0.14671196272574516,0.11414931815296259,0.6456791189351405,0.22301099138895566,0.8105821697389483
20% both tails,20,5,15,MLP,0.8714622407516839,0.8011626838432846,0.09491860066669522,0.12360645943579203,0.1380080630089395,0.16607579743473533,0.07029955690839929,0.18009785482668667,0.19829887336640842,0.7800728167707648
