Data_Mode,Features,Model,test_R2,overfit,cv_R2_mean,cv_R2_std
Original,15,SVR,0.8759735189257947,0.01609333304466054,0.3344174510564083,0.33533278119889776
Original,15,GBDT,0.8902661424280477,0.09133406233495023,0.42084880903208877,0.3552321929139479
Original,15,LGBM,0.503369515940159,0.1488991792712211,0.32108650475979383,0.23219740801327268
Original,15,MLP,0.23219102780339262,-0.38938890771234835,-0.07931255129769843,0.3578459001660617
Original,18,SVR,0.8807340954011396,0.01665389196193401,0.39763667235849753,0.31857273019540805
Original,18,GBDT,0.8920295093702432,0.08915978467698804,0.41180412845491776,0.38738277663573484
Original,18,LGBM,0.503369515940159,0.1488991792712211,0.32108650475979383,0.23219740801327268
Original,18,MLP,0.829378500738992,0.014514565485606257,0.0877008824102338,0.8045228787532757
Original,20,SVR,0.8879962125735001,0.010162800741863598,0.41803962333988876,0.2921392466706115
Original,20,GBDT,0.8836661988648042,0.0976011422533366,0.41662294894186225,0.3487995211993885
Original,20,LGBM,0.503369515940159,0.1488991792712211,0.32108650475979383,0.23219740801327268
Original,20,MLP,-0.1623848325742192,-0.15811507875758957,-0.6308481408469762,0.8656177105543744
5% tails,15,SVR,0.8751232335947412,0.07446821896553835,0.7775691199141088,0.03341463877294722
5% tails,15,GBDT,0.9029592606585618,0.08676299729524473,0.6747184013024106,0.07355600222580803
5% tails,15,LGBM,0.549659429053011,0.21847458472852876,0.5575976440042216,0.09673740552405552
5% tails,15,MLP,-1.395438668219139,1.1086707572000327,-0.4796319840956536,0.5328359671953592
5% tails,18,SVR,0.8689278403926687,0.07859705093728886,0.7776473428929973,0.03673156030441096
5% tails,18,GBDT,0.8860738032470954,0.10227136038146778,0.6625481992204971,0.0593003434576245
5% tails,18,LGBM,0.5608404561007896,0.20396473736011755,0.534006908316822,0.11580996479111552
5% tails,18,MLP,0.6549223715281107,0.16697029842059896,-0.6943512899674726,2.239995413825325
5% tails,20,SVR,0.8753448400498755,0.07313409658176473,0.7976490706746882,0.03796153582040878
5% tails,20,GBDT,0.8911931675171897,0.09711224820383868,0.6758433032993046,0.06921315501687106
5% tails,20,LGBM,0.5406770087569504,0.2321777407736183,0.5404686193272191,0.11624365527035191
5% tails,20,MLP,0.8926882398521544,0.05794641994781957,0.22006595333974302,0.22856249687459929
10% tails,15,SVR,0.8938283212471131,0.042075498140669465,0.5932390727914834,0.30512399644085947
10% tails,15,GBDT,0.9226507071994507,0.0648166626502582,0.536985284660443,0.304679108822459
10% tails,15,LGBM,0.7449452478150939,0.09753556861747803,0.40825753604930004,0.3230122948555818
10% tails,15,MLP,0.7536484747008305,-0.03285814956129629,-0.1113965184607291,0.5358173679430371
10% tails,18,SVR,0.8804277892512447,0.06448579094748108,0.5838883218769586,0.3195951453715208
10% tails,18,GBDT,0.9097947530294915,0.07726920940078286,0.5455379166903704,0.27858586439858585
10% tails,18,LGBM,0.7449452478150939,0.09753556861747803,0.40825753604930004,0.3230122948555818
10% tails,18,MLP,-0.09001825725201296,0.037252174106755076,-0.021503523404829215,0.49528861356061366
10% tails,20,SVR,0.8800674441022285,0.06515317168112977,0.5820289499516302,0.3347091079144858
10% tails,20,GBDT,0.9091365235682637,0.0779274388620107,0.5112687701920879,0.34084167665698295
10% tails,20,LGBM,0.7449452478150939,0.09753556861747803,0.40825753604930004,0.3230122948555818
10% tails,20,MLP,0.49555311113245004,0.08585655553457971,-0.2863214268311138,0.8159159580712946
20% tails,15,SVR,0.8857356929329278,0.04341560286527957,0.7593483675243122,0.12968621804456495
20% tails,15,GBDT,0.8528129407332834,0.1267730964305389,0.6081970135639794,0.14274900214983774
20% tails,15,LGBM,0.7975384635400087,0.06189997625758714,0.5536458192420325,0.10477203888684877
20% tails,15,MLP,0.18615445372739436,0.35772748701192625,-0.35422360352258864,0.6509407257624118
20% tails,18,SVR,0.8763423683964036,0.06520745353507129,0.7594499043598053,0.1461142966313719
20% tails,18,GBDT,0.8599752812985666,0.11987107832555932,0.6083680116983369,0.15177105219966344
20% tails,18,LGBM,0.7878757094621057,0.07065663300792768,0.535767075649763,0.10808062474101812
20% tails,18,MLP,-0.48471916224596634,0.7041827454432114,0.5142740694738869,0.08701246398623358
20% tails,20,SVR,0.8801663181365329,0.061549656747987735,0.7636140309353371,0.13813533512563217
20% tails,20,GBDT,0.858123453793329,0.12276143142118756,0.6302529609651562,0.12568090782968022
20% tails,20,LGBM,0.7992679115265912,0.0644416234264239,0.548058571386956,0.11709883586886928
20% tails,20,MLP,0.4925800047958613,0.09510908275519048,0.23108533578490936,0.5157301503467325
