Test_Temperature_K,Initial_Hydrogen_Pressure_MPa,Hydrogen_Absorption_Cycles,Max_H2_Uptake_wt_pct,Lattice_Parameter_a_A,Lattice_Parameter_c_A,Unit_Cell_Volume_A3,Element_at_pct_Ti,Element_at_pct_V,Element_at_pct_Mn,Element_at_pct_Ce,Element_at_pct_Zr,Element_at_pct_Cr,Element_at_pct_Fe,Element_at_pct_Nb,Element_at_pct_Cu,Element_at_pct_Al,Element_at_pct_Y,Element_at_pct_Ni,Element_at_pct_Mo,Element_at_pct_Co,Element_at_pct_NaN,Element_at_pct_H,Element_at_pct_Li,Element_at_pct_C,Element_at_pct_A,Element_at_pct_I,Element_at_pct_T,Element_at_pct_Ta,Additive_V,Additive_H,Additive_Al,Additive_C,Additive_Co,Additive_Ti,Additive_Zr,Additive_Fe,Additive_Li,Additive_Cu,Additive_Mn,Additive_Cr,Additive_Mo,Additive_Ni,Additive_Ce,Main_Phase,Second_Phase_Al,Second_Phase_Ti2Fe,Second_Phase_Beta_Ti,Second_Phase_Ti4_FeCu_2Ox,Second_Phase_C15,Second_Phase_BCC,Second_Phase_TiFe,Second_Phase_Y2O3,Second_Phase_TiFe2,Second_Phase_FeCr,Second_Phase_Ce,Second_Phase_Ce_Phase,Second_Phase_C14_Laves_Phase,Second_Phase_Ti4Mn2O,Second_Phase_C14_Laves,Second_Phase_ZrMn2,Second_Phase_TiCu,Second_Phase_Ti4Fe2O,Second_Phase_Ti2AlC,Second_Phase_Li3AlH6,Second_Phase_BCC_C14_Laves,Second_Phase_C15_Laves,Second_Phase_LiAlH4,Second_Phase_Ti4Fe,Second_Phase_CeO2,Second_Phase_TiNi,Second_Phase_Alpha_Ti,Second_Phase_TiMn2,Second_Phase_Ti2Fe_Ortho,Second_Phase_BCC_Cubic,Second_Phase_Ni,Second_Phase_Y
298,5.0,2,2.01,4.9828,8.0438,172.92,33.9,15.25,50.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C14 Laves（六方）,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,5.0,2,2.06,4.9901,8.0482,173.53,33.9,15.25,50.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C14 Laves（六方）,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,5.0,2,2.09,4.9918,8.0495,173.68,33.9,15.25,50.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C14 Laves（六方）,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,5.0,2,2.06,4.9925,8.0499,173.73,33.9,15.25,50.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C14 Laves（六方）,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,5.0,2,1.79,4.9997,8.0505,174.25,33.9,15.25,50.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C14 Laves（六方）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,8.0,2,2.16,4.7412,8.0438,156.59,33.9,15.25,50.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C14 Laves（六方）,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
298,8.0,2,2.01,4.7363,8.0398,156.19,32.2,15.25,50.85,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C14 Laves（六方）,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
298,8.0,2,1.85,4.7339,8.0308,155.86,30.51,15.25,50.85,3.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C14 Laves（六方）,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
298,8.0,2,1.66,4.7337,8.0292,155.81,28.81,15.25,50.85,5.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C14 Laves（六方）,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
298,8.0,2,1.44,4.7484,8.011,156.43,27.12,15.25,50.85,6.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C14 Laves（六方）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,5.0,2,2.03,4.99,8.041,173.2,33.9,15.25,50.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C14 Laves（六方）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,5.0,2,1.79,4.996,8.048,173.9,32.2,15.25,50.85,0.0,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C14 Laves（六方）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,5.0,2,2.07,5.002,8.055,174.5,30.51,15.25,50.85,0.0,3.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C14 Laves（六方）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,5.0,2,1.95,5.022,8.063,176.2,28.81,15.25,50.85,0.0,5.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C14 Laves（六方）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,5.0,2,2.02,5.044,8.071,177.7,27.12,15.25,50.85,0.0,6.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C14 Laves（六方）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,5.0,2,2.07,5.002,8.055,174.5,30.51,15.25,50.85,0.0,3.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C14 Laves（六方）,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
298,5.0,2,2.1,4.8588,8.5133,174.18,32.2,15.25,50.85,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C14 Laves（六方）,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
298,5.0,2,1.97,4.8594,8.5193,174.35,32.2,15.25,49.15,1.69,0.0,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C14 Laves（六方）,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
298,5.0,2,2.12,4.8612,8.5329,174.5,32.2,15.25,47.46,1.69,0.0,3.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C14 Laves（六方）,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
298,5.0,2,2.03,4.8629,8.5516,175.01,32.2,15.25,45.76,1.69,0.0,5.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C14 Laves（六方）,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
