Element_at_pct_Ti,Element_at_pct_V,Element_at_pct_Cr,Element_at_pct_Fe,Element_at_pct_Mn,Element_at_pct_Zr,Element_at_pct_Al,Element_at_pct_Ni,Predicted_Capacity_wt
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
37.3,33.3,9.8,9.8,9.8,0.0,0.0,0.0,3.5369878
39.6,35.4,7.3,10.4,7.3,0.0,0.0,0.0,3.535368
39.6,35.4,7.3,10.4,7.3,0.0,0.0,0.0,3.535368
39.6,35.4,7.3,10.4,7.3,0.0,0.0,0.0,3.535368
39.6,35.4,7.3,10.4,7.3,0.0,0.0,0.0,3.535368
39.6,35.4,7.3,10.4,7.3,0.0,0.0,0.0,3.535368
39.6,35.4,7.3,10.4,7.3,0.0,0.0,0.0,3.535368
39.6,35.4,7.3,10.4,7.3,0.0,0.0,0.0,3.535368
39.6,35.4,7.3,10.4,7.3,0.0,0.0,0.0,3.535368
39.6,35.4,7.3,10.4,7.3,0.0,0.0,0.0,3.535368
39.6,35.4,7.3,10.4,7.3,0.0,0.0,0.0,3.535368
39.6,35.4,7.3,10.4,7.3,0.0,0.0,0.0,3.535368
39.6,35.4,7.3,10.4,7.3,0.0,0.0,0.0,3.535368
39.6,35.4,7.3,10.4,7.3,0.0,0.0,0.0,3.535368
39.6,35.4,7.3,10.4,7.3,0.0,0.0,0.0,3.535368
39.6,35.4,7.3,10.4,7.3,0.0,0.0,0.0,3.535368
39.6,35.4,7.3,10.4,7.3,0.0,0.0,0.0,3.535368
39.6,35.4,7.3,10.4,7.3,0.0,0.0,0.0,3.535368
39.6,35.4,7.3,10.4,7.3,0.0,0.0,0.0,3.535368
39.6,35.4,7.3,10.4,7.3,0.0,0.0,0.0,3.535368
39.6,35.4,7.3,10.4,7.3,0.0,0.0,0.0,3.535368
39.6,35.4,7.3,10.4,7.3,0.0,0.0,0.0,3.535368
39.6,35.4,7.3,10.4,7.3,0.0,0.0,0.0,3.535368
39.6,35.4,7.3,10.4,7.3,0.0,0.0,0.0,3.535368
39.6,35.4,7.3,10.4,7.3,0.0,0.0,0.0,3.535368
39.6,35.4,7.3,10.4,7.3,0.0,0.0,0.0,3.535368
39.6,35.4,7.3,10.4,7.3,0.0,0.0,0.0,3.535368
39.6,35.4,7.3,10.4,7.3,0.0,0.0,0.0,3.535368
