Element_at_pct_Ti,Element_at_pct_V,Element_at_pct_Mn,Element_at_pct_Zr,Element_at_pct_Cr,Element_at_pct_Fe,Element_at_pct_Nb,Element_at_pct_Cu,Element_at_pct_Al,Element_at_pct_Ni,Element_at_pct_Mo,Element_at_pct_Ce,Element_at_pct_Y,Predicted_Capacity_wt
38.6,28.7,9.9,3.0,3.0,15.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.1191607785515854
37.9,29.1,8.7,3.9,1.9,8.7,4.9,0.0,0.0,1.9,2.9,0.0,0.0,3.116772542044532
39.0,29.0,9.0,4.0,3.0,13.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.1160810473920417
37.1,29.9,11.3,3.1,1.0,10.3,2.1,0.0,0.0,1.0,4.1,0.0,0.0,3.113815415606675
37.8,28.6,9.2,3.1,1.0,11.2,0.0,4.1,2.0,1.0,2.0,0.0,0.0,3.1133217406353686
39.4,28.3,9.1,3.0,2.0,11.1,3.0,0.0,0.0,4.0,0.0,0.0,0.0,3.1132006650433746
39.8,29.6,9.2,3.1,1.0,10.2,2.0,4.1,1.0,0.0,0.0,0.0,0.0,3.113118376051962
37.1,32.0,14.4,3.1,1.0,8.2,1.0,0.0,0.0,0.0,3.1,0.0,0.0,3.113030056262195
38.2,30.4,8.8,3.9,1.0,12.7,0.0,0.0,1.0,1.0,2.9,0.0,0.0,3.1111728709339226
40.0,29.0,8.0,4.0,6.0,8.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.110230701415205
38.0,32.0,8.0,3.0,4.0,10.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,3.1096605565420488
41.1,27.4,13.7,3.2,0.0,13.7,1.1,0.0,0.0,0.0,0.0,0.0,0.0,3.109414007048097
38.6,27.7,8.9,3.0,5.0,14.9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1087924188792035
38.8,29.6,9.2,6.1,2.0,9.2,3.1,0.0,0.0,0.0,2.0,0.0,0.0,3.1084605295280205
37.9,29.5,8.4,3.2,1.1,9.5,3.2,2.1,2.1,0.0,3.2,0.0,0.0,3.1062432709197023
37.9,27.2,7.8,3.9,1.9,13.6,4.9,0.0,0.0,1.0,1.9,0.0,0.0,3.1059639926696807
38.0,29.0,11.0,3.0,0.0,8.0,1.0,5.0,2.0,3.0,0.0,0.0,0.0,3.105370785973664
38.5,29.8,8.7,3.8,1.9,9.6,2.9,1.0,1.0,0.0,2.9,0.0,0.0,3.103419593780484
38.9,27.4,13.7,3.2,4.2,8.4,0.0,4.2,0.0,0.0,0.0,0.0,0.0,3.1025704053815093
38.1,27.6,9.5,3.8,7.6,8.6,1.9,0.0,0.0,0.0,2.9,0.0,0.0,3.102181027862237
39.6,30.2,10.4,4.2,0.0,9.4,4.2,0.0,0.0,2.1,0.0,0.0,0.0,3.1018848378380897
39.6,30.7,11.9,4.0,1.0,9.9,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.101112607423379
38.2,28.4,11.8,3.9,0.0,13.7,0.0,0.0,2.0,0.0,2.0,0.0,0.0,3.100954182773002
40.4,27.3,9.1,3.0,4.0,8.1,0.0,3.0,1.0,4.0,0.0,0.0,0.0,3.1006277092180237
38.0,30.0,8.0,4.0,0.0,13.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,3.1002082357164142
37.9,29.1,7.8,3.9,0.0,12.6,4.9,2.9,0.0,0.0,1.0,0.0,0.0,3.0994147388712956
40.4,29.3,8.1,5.1,5.1,8.1,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0993304476922674
38.4,28.3,8.1,3.0,1.0,12.1,4.0,1.0,0.0,2.0,2.0,0.0,0.0,3.0992206267223787
39.2,28.4,8.8,5.9,6.9,8.8,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0988570677025176
39.4,27.3,8.1,3.0,2.0,8.1,1.0,4.0,3.0,1.0,3.0,0.0,0.0,3.098781544902673
37.9,30.1,7.8,3.9,0.0,14.6,3.9,1.0,0.0,1.0,0.0,0.0,0.0,3.0986585353381817
39.0,29.0,13.0,3.0,0.0,10.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,3.098437525384507
37.6,27.7,9.9,4.0,0.0,15.8,0.0,0.0,0.0,1.0,4.0,0.0,0.0,3.0975425414208493
40.6,29.7,8.9,4.0,1.0,8.9,1.0,1.0,3.0,0.0,2.0,0.0,0.0,3.0972679445595497
40.6,30.2,8.3,4.2,3.1,10.4,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0969397633921174
42.0,28.0,10.0,4.0,2.0,8.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,3.09642454657739
40.2,30.9,6.2,3.1,0.0,13.4,1.0,0.0,0.0,1.0,4.1,0.0,0.0,3.0959521805715022
40.0,29.0,8.0,5.0,0.0,13.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,3.095219152015298
37.5,28.8,7.7,3.8,1.9,8.7,1.9,1.9,0.0,2.9,4.8,0.0,0.0,3.0950728119720607
37.4,29.3,13.1,3.0,0.0,10.1,1.0,0.0,2.0,0.0,4.0,0.0,0.0,3.0949146791520667
37.5,30.8,8.7,3.8,1.0,14.4,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0944799077774405
37.9,27.4,14.7,3.2,3.2,8.4,0.0,0.0,4.2,0.0,1.1,0.0,0.0,3.094163775651084
38.2,31.4,9.8,3.9,0.0,10.8,0.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0938458173516103
37.3,31.4,13.7,3.9,2.0,9.8,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0938410078234027
39.0,30.0,8.0,6.0,3.0,10.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,3.093739907622957
