Element_at_pct_Ti,Element_at_pct_Fe,Element_at_pct_V,Element_at_pct_Zr,Element_at_pct_Nb,Element_at_pct_Ni,Element_at_pct_Mn,Element_at_pct_Cr,Element_at_pct_Ce,Element_at_pct_Co,Element_at_pct_Cu,Element_at_pct_Mo,Element_at_pct_Ta,Element_at_pct_Y,Predicted_Capacity_wt
29.8,26.9,13.5,9.6,2.9,7.7,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
42.6,25.7,12.9,0.0,0.0,6.9,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
41.0,32.0,13.0,9.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
30.8,32.7,12.5,9.6,8.7,4.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
32.0,29.0,12.0,0.0,8.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
28.0,32.0,14.0,3.0,2.0,8.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
23.0,32.0,11.0,12.0,5.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
22.1,26.9,11.5,10.6,8.7,6.7,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
30.8,26.0,14.4,5.8,1.9,6.7,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
32.6,31.6,12.6,5.3,3.2,0.0,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
25.0,31.0,14.0,12.0,3.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
42.6,25.7,14.9,5.0,2.0,7.9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
33.0,24.7,13.4,2.1,7.2,5.2,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
38.6,22.8,14.9,7.9,5.9,6.9,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
25.0,28.0,12.0,10.0,5.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
41.3,26.9,11.5,5.8,6.7,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
42.9,21.9,12.4,8.6,1.0,1.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
27.1,21.9,13.5,11.5,8.3,8.3,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
38.1,21.0,12.4,10.5,5.7,0.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
34.3,20.2,14.1,14.1,5.1,7.1,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
41.7,27.2,11.7,10.7,1.9,2.9,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
37.1,28.9,14.4,8.2,5.2,3.1,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
40.8,29.6,11.2,9.2,7.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
39.4,30.3,12.1,7.1,2.0,2.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
37.9,22.1,13.7,1.1,7.4,8.4,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
46.6,29.1,12.6,2.9,0.0,7.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
34.7,32.7,14.3,10.2,7.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
46.5,21.2,11.1,4.0,3.0,4.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
35.0,25.0,15.0,6.0,6.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
39.8,24.5,14.3,4.1,5.1,8.2,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
43.0,26.0,12.0,1.0,8.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
41.2,24.5,12.7,9.8,4.9,4.9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
41.2,22.7,12.4,9.3,7.2,2.1,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
41.8,32.7,12.2,1.0,3.1,4.1,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
39.0,27.0,11.0,3.0,2.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
37.8,26.5,12.2,10.2,8.2,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
32.4,33.3,14.3,1.0,1.9,3.8,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
43.7,24.3,11.7,10.7,1.9,2.9,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
34.3,22.9,12.4,8.6,3.8,3.8,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
31.7,26.9,14.4,2.9,2.9,9.6,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
27.3,29.3,14.1,13.1,6.1,0.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
30.9,29.9,11.3,14.4,3.1,1.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
24.8,30.5,12.4,11.4,9.5,1.9,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
48.4,21.1,13.7,9.5,4.2,2.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
33.7,23.8,12.9,12.9,4.0,2.0,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
31.4,24.5,14.7,9.8,2.9,2.0,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
32.4,20.0,13.3,10.5,6.7,7.6,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
40.0,22.9,14.3,12.4,1.0,3.8,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
28.6,22.9,13.3,7.6,7.6,9.5,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
41.4,22.2,13.1,13.1,2.0,2.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
46.0,29.0,12.0,4.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
36.0,32.0,14.0,3.0,2.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
26.3,32.6,11.6,4.2,2.1,8.4,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
24.8,33.3,11.4,12.4,1.9,2.9,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
38.8,21.4,13.3,10.2,5.1,5.1,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
39.0,24.8,14.3,11.4,2.9,1.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
43.8,20.0,12.4,1.0,8.6,8.6,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
44.2,26.0,10.6,11.5,2.9,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
38.6,26.7,11.9,14.9,2.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
27.8,30.9,11.3,14.4,6.2,1.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
37.9,23.2,14.7,14.7,2.1,2.1,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
32.3,26.0,12.5,11.5,6.2,6.2,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
20.8,31.2,12.5,12.5,6.2,8.3,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
29.6,23.5,12.2,12.2,8.2,0.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
30.7,29.7,14.9,3.0,8.9,5.9,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
34.0,20.0,11.0,11.0,3.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
25.0,30.0,14.0,7.0,9.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
34.7,30.6,14.3,1.0,1.0,9.2,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
42.0,22.0,13.0,4.0,8.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
44.0,24.0,15.0,4.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
42.3,29.8,11.5,7.7,1.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
36.3,27.5,10.8,1.0,8.8,3.9,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
24.0,28.8,14.4,8.7,8.7,7.7,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
38.5,30.8,13.5,5.8,0.0,7.7,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
40.2,21.6,14.4,9.3,3.1,4.1,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
45.7,26.7,12.4,1.9,3.8,7.6,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
29.7,23.8,10.9,9.9,7.9,7.9,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
30.8,25.0,14.4,14.4,3.8,4.8,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
32.4,28.4,12.7,4.9,3.9,6.9,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
33.7,25.7,14.9,5.0,6.9,0.0,13.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
33.3,29.3,11.1,11.1,7.1,6.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
42.3,21.2,11.5,1.9,7.7,4.8,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
37.9,23.2,11.6,8.4,8.4,5.3,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
36.2,21.9,14.3,3.8,9.5,5.7,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
41.1,30.5,13.7,2.1,2.1,3.2,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
30.5,33.3,12.4,2.9,9.5,0.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
30.1,24.3,14.6,4.9,4.9,8.7,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
35.6,30.7,12.9,8.9,1.0,1.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
26.0,31.7,12.5,11.5,6.7,9.6,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
32.0,32.0,13.6,7.8,1.0,9.7,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
37.1,33.3,11.4,1.0,5.7,7.6,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
35.1,24.7,12.4,14.4,6.2,5.2,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
35.9,25.2,13.6,10.7,8.7,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
41.0,20.0,12.4,10.5,1.9,1.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
35.3,30.4,12.7,0.0,4.9,2.9,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
22.5,31.4,11.8,9.8,9.8,8.8,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
31.0,30.0,12.0,6.0,6.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
34.3,30.4,10.8,6.9,1.0,9.8,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
35.9,31.1,11.7,1.9,3.9,2.9,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
30.1,32.0,12.6,4.9,2.9,3.9,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
29.5,25.7,13.3,7.6,6.7,5.7,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
45.0,27.0,11.0,4.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
47.4,25.8,14.4,0.0,0.0,5.2,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
21.6,25.8,13.4,14.4,3.1,9.3,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
38.5,21.9,12.5,7.3,6.2,7.3,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
41.8,23.5,11.2,6.1,8.2,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
40.0,25.7,13.3,4.8,1.0,1.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
31.6,30.6,13.3,2.0,5.1,5.1,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
33.0,23.3,11.7,4.9,7.8,6.8,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
28.4,32.6,13.7,8.4,8.4,4.2,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
45.5,25.7,11.9,0.0,2.0,3.0,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
31.4,33.3,14.3,9.5,0.0,1.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
27.6,32.7,11.2,10.2,8.2,4.1,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
35.4,27.3,11.1,3.0,9.1,8.1,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
46.2,25.0,11.5,6.7,8.7,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
46.5,27.7,13.9,0.0,0.0,4.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
41.2,22.7,13.4,0.0,5.2,8.2,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
37.0,24.0,12.0,6.0,6.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
37.1,21.9,12.4,4.8,9.5,7.6,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
42.7,22.3,11.7,3.9,8.7,5.8,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
43.0,28.0,12.0,0.0,7.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
29.7,22.8,11.9,13.9,8.9,5.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
39.4,30.3,13.1,1.0,6.1,2.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
22.1,31.6,11.6,6.3,5.3,9.5,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
21.9,33.3,13.3,13.3,3.8,8.6,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
30.2,31.2,13.5,3.1,4.2,4.2,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
47.5,25.7,14.9,2.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
32.7,25.5,14.3,4.1,6.1,7.1,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
39.4,24.0,11.5,13.5,8.7,1.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
39.8,33.0,10.7,1.0,1.0,1.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
43.9,20.4,14.3,7.1,6.1,5.1,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
39.2,24.7,13.4,8.2,2.1,1.0,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
49.5,26.7,10.9,3.0,0.0,2.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
36.2,26.7,11.4,12.4,1.9,7.6,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
38.9,26.3,11.6,6.3,0.0,5.3,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
31.4,26.5,12.7,7.8,1.0,7.8,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
20.2,29.8,12.5,14.4,7.7,6.7,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
33.3,26.5,11.8,1.0,9.8,6.9,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
45.5,22.2,14.1,4.0,4.0,4.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
21.6,28.9,14.4,11.3,4.1,8.2,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
44.7,28.2,14.6,1.9,0.0,9.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
35.1,22.7,11.3,11.3,5.2,3.1,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
41.9,23.8,13.3,11.4,4.8,1.9,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
41.2,25.5,11.8,6.9,7.8,2.9,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
45.3,25.3,11.6,8.4,2.1,4.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
25.2,29.1,13.6,8.7,8.7,7.8,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
24.2,32.3,12.1,10.1,7.1,8.1,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
24.5,33.3,14.7,10.8,1.0,2.9,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
38.2,33.3,12.7,7.8,4.9,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
36.4,32.3,13.1,6.1,4.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
24.0,31.7,13.5,13.5,4.8,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
31.1,32.0,11.7,12.6,4.9,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
40.2,29.9,14.4,9.3,4.1,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
48.5,24.8,12.9,1.0,8.9,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
39.0,28.0,15.0,0.0,10.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
21.2,28.3,13.1,14.1,6.1,9.1,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
24.2,32.3,11.1,8.1,3.0,9.1,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
32.6,22.1,12.6,10.5,8.4,2.1,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
34.3,21.6,13.7,6.9,5.9,8.8,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
38.0,31.0,14.0,5.0,4.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
39.4,22.2,12.1,4.0,7.1,1.0,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
48.5,24.8,10.9,4.0,5.9,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
46.1,30.4,12.7,0.0,7.8,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
36.6,29.7,13.9,8.9,4.0,1.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
46.3,28.4,13.7,10.5,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
36.7,30.6,13.3,4.1,4.1,1.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
25.3,28.4,13.7,4.2,7.4,7.4,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
45.4,27.8,12.4,3.1,2.1,3.1,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
46.2,22.1,14.4,4.8,2.9,2.9,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
22.5,31.4,12.7,6.9,5.9,7.8,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
22.5,30.4,12.7,7.8,7.8,8.8,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
31.4,26.5,12.7,5.9,3.9,9.8,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
39.8,29.1,12.6,6.8,1.0,5.8,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
35.9,31.1,14.6,1.9,4.9,0.0,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
46.2,27.9,10.6,1.9,5.8,1.9,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
38.8,26.2,10.7,12.6,1.9,2.9,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
36.4,31.3,12.1,12.1,6.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
