Unit_Cell_Volume_A3,Test_Temperature_K,Initial_Hydrogen_Pressure_MPa,Hydrogen_Absorption_Cycles,Lattice_Constant_A,Element_at_pct_Al,Element_at_pct_Ce,Element_at_pct_Co,Element_at_pct_Cr,Element_at_pct_Fe,Element_at_pct_H,Element_at_pct_Mn,Element_at_pct_Nb,Element_at_pct_Ni,Element_at_pct_T,Element_at_pct_Ti,Element_at_pct_V,Element_at_pct_Y,Element_at_pct_Zr,Additive_Al,Additive_Ce,Additive_H,Additive_Ni,Additive_Ti,Additive_Zr,Second_Phase_Al,Second_Phase_C14_Laves,Second_Phase_C15,Second_Phase_C15_Laves,Second_Phase_Ce,Second_Phase_CeO2,Second_Phase_LiAlH4,Second_Phase_Li3AlH6,Second_Phase_TiNi,Second_Phase_Ti2AlC,Max_H2_Uptake_wt_pct
30.4,303,3.0,2,3.12,0.0,0.0,0.0,10.0,10.0,0.0,0.0,20.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2
31.9,303,3.0,2,3.17,0.0,0.0,0.0,5.0,5.0,0.0,0.0,20.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1
30.4,333,3.0,2,3.12,0.0,0.0,0.0,10.0,10.0,0.0,0.0,20.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95
30.4,363,3.0,2,3.12,0.0,0.0,0.0,10.0,10.0,0.0,0.0,20.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65
31.9,333,3.0,2,3.17,0.0,0.0,0.0,5.0,5.0,0.0,0.0,20.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75
31.9,363,3.0,2,3.17,0.0,0.0,0.0,5.0,5.0,0.0,0.0,20.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45
26.16,303,2.5,2,2.9683,0.3,0.0,1.4,13.21,2.7,0.0,6.91,0.0,15.72,0.0,13.61,44.04,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08
26.33,303,5.0,2,2.9751,0.3,0.0,1.4,11.21,2.7,0.0,6.91,0.0,15.72,0.0,15.62,44.04,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63
26.56,303,5.0,2,2.9835,0.3,0.0,1.4,9.21,2.7,0.0,6.91,0.0,15.72,0.0,17.62,44.04,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.69
26.7,303,5.0,2,2.9888,0.3,0.0,1.4,7.21,2.7,0.0,6.91,0.0,15.72,0.0,19.62,44.04,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72
