Element_at_pct_Ti,Element_at_pct_V,Element_at_pct_Cr,Element_at_pct_Fe,Element_at_pct_Mn,Element_at_pct_Zr,Element_at_pct_Al,Element_at_pct_Ni,Predicted_Capacity_wt,Additive_Count
39.81,33.01,8.74,9.71,8.74,0.0,0.0,0.0,3.5858243,3
39.56,32.97,8.79,9.89,8.79,0.0,0.0,0.0,3.5843825,3
39.56,32.97,8.79,9.89,8.79,0.0,0.0,0.0,3.5843825,3
39.56,32.97,8.79,9.89,8.79,0.0,0.0,0.0,3.5843825,3
39.39,33.33,8.08,10.1,9.09,0.0,0.0,0.0,3.578916,3
39.39,33.33,8.08,10.1,9.09,0.0,0.0,0.0,3.578916,3
39.39,33.33,8.08,10.1,9.09,0.0,0.0,0.0,3.578916,3
39.78,33.33,8.6,9.68,8.6,0.0,0.0,0.0,3.5761442,3
39.78,33.33,8.6,9.68,8.6,0.0,0.0,0.0,3.5761442,3
39.62,33.02,8.49,9.43,9.43,0.0,0.0,0.0,3.5751946,3
39.58,33.33,8.33,9.38,9.38,0.0,0.0,0.0,3.5751946,3
39.58,33.33,8.33,9.38,9.38,0.0,0.0,0.0,3.5751946,3
39.58,33.33,8.33,9.38,9.38,0.0,0.0,0.0,3.5751946,3
39.58,33.33,8.33,9.38,9.38,0.0,0.0,0.0,3.5751946,3
39.62,33.02,8.49,10.38,8.49,0.0,0.0,0.0,3.569236,3
39.62,33.02,8.49,10.38,8.49,0.0,0.0,0.0,3.569236,3
39.62,33.02,8.49,10.38,8.49,0.0,0.0,0.0,3.569236,3
39.62,33.02,8.49,10.38,8.49,0.0,0.0,0.0,3.569236,3
39.62,33.02,8.49,10.38,8.49,0.0,0.0,0.0,3.569236,3
39.62,33.02,8.49,10.38,8.49,0.0,0.0,0.0,3.569236,3
